\hline
 bin                                   &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.01    &     0.00 +- 0.01    &    0.00 +- 0.00    &  -0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.03 +- 0.03   &   0.00 +- 0.00   &    0.00 +- 0.01   &    0.08 +- 0.09    &     0.11 +- 0.10    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.07 +- 0.06    &     0.09 +- 0.06    &    1.00 +- 1.00    &  10.70 +-12.64  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.07   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.01 +- 0.01   &    0.38 +- 0.25    &     0.34 +- 0.26    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.06 +- 0.07   &   0.06 +- 0.03   &   0.01 +- 0.01   &   0.02 +- 0.01   &    0.07 +- 0.02   &    0.49 +- 0.31    &     0.71 +- 0.32    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.05 +- 0.04   &   0.03 +- 0.01   &    0.18 +- 0.03   &    1.01 +- 0.50    &     1.31 +- 0.51    &    3.00 +- 1.73    &   2.29 +- 1.59  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.07   &   0.10 +- 0.02   &   0.02 +- 0.06   &   0.09 +- 0.01   &    0.38 +- 0.05   &    2.82 +- 1.21    &     3.37 +- 1.21    &    6.00 +- 2.45    &   1.78 +- 0.97  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.00 +- 0.00   &   0.17 +- 0.02   &   0.64 +- 0.37   &   0.78 +- 0.08   &   1.02 +- 0.54   &   1.01 +- 0.04   &    3.42 +- 0.16   &   20.96 +- 8.48    &    28.00 +- 8.51    &   43.00 +- 6.56    &   1.54 +- 0.52  \\ \hline
