\hline
 bin             &   $t\bar{t}$VV   &    $t\bar{t}Z$    &    $t\bar{t}H$    &        Rare        &     X+$\gamma$     &   Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.    &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00   &    0.00 +- 0.00   &     0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    1.60 +- 0.48   &    0.00 +- 0.00   &     0.00 +- 0.00    &     1.60 +- 0.48    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    2.86 +- 0.86   &    0.00 +- 0.00   &     0.00 +- 0.00    &     2.86 +- 0.86    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    3.55 +- 1.07   &    0.00 +- 0.00   &     0.00 +- 0.00    &     3.55 +- 1.07    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [40.0-50.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    4.45 +- 1.34   &    0.00 +- 0.00   &     0.00 +- 0.00    &     4.45 +- 1.34    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [50.0-60.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    5.27 +- 1.58   &    0.00 +- 0.00   &     0.00 +- 0.00    &     5.27 +- 1.58    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [60.0-70.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    6.65 +- 2.00   &    0.00 +- 0.00   &     0.00 +- 0.00    &     6.65 +- 2.00    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [70.0-80.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    8.68 +- 2.61   &    0.00 +- 0.00   &     0.00 +- 0.00    &     8.68 +- 2.61    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [80.0-90.0]     &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &   41.77 +-12.54   &    0.00 +- 0.00   &     0.00 +- 0.00    &    41.77 +-12.54    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
