\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &    $t\bar{t}W$    &   Charge misid.   &   Nonprompt lep.   &     Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   3.37 +- 0.09   &  20.44 +- 0.18   &  28.26 +- 0.46   &  50.69 +-25.38   &  49.55 +-26.92   &   66.79 +- 0.69   &  161.94 +-48.59   &  272.47 +-109.37   &  653.50 +-125.26   &   739.00 +-27.18   &   1.13 +- 0.22  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [20.0-30.0]     &   0.25 +- 0.02   &   1.31 +- 0.04   &   1.42 +- 0.09   &   0.89 +- 0.46   &   1.19 +- 0.76   &    3.32 +- 0.15   &    4.44 +- 1.34   &    5.07 +- 2.24    &   17.89 +- 2.77    &   20.00 +- 4.47    &   1.12 +- 0.30  \\ \hline
 [30.0-40.0]     &   0.49 +- 0.03   &   2.85 +- 0.06   &   3.50 +- 0.16   &   1.26 +- 0.65   &   3.96 +- 2.10   &    7.62 +- 0.22   &    8.24 +- 2.48   &    8.91 +- 3.94    &   36.83 +- 5.15    &   50.00 +- 7.07    &   1.36 +- 0.27  \\ \hline
 [40.0-50.0]     &   0.48 +- 0.03   &   2.89 +- 0.06   &   3.63 +- 0.16   &   1.55 +- 0.83   &   5.81 +- 3.20   &    8.25 +- 0.23   &   15.34 +- 4.60   &   10.56 +- 4.67    &   48.52 +- 7.35    &   49.00 +- 7.00    &   1.01 +- 0.21  \\ \hline
 [50.0-60.0]     &   0.44 +- 0.03   &   2.25 +- 0.06   &   2.91 +- 0.16   &   0.99 +- 0.50   &   3.30 +- 1.85   &    7.22 +- 0.21   &   11.18 +- 3.36   &    9.36 +- 4.28    &   37.64 +- 5.77    &   48.00 +- 6.93    &   1.28 +- 0.27  \\ \hline
 [60.0-70.0]     &   0.32 +- 0.03   &   1.94 +- 0.05   &   2.10 +- 0.13   &   0.60 +- 0.32   &   1.98 +- 1.15   &    5.49 +- 0.19   &    7.42 +- 2.23   &    4.96 +- 2.27    &   24.81 +- 3.41    &   34.00 +- 5.83    &   1.37 +- 0.30  \\ \hline
 [70.0-80.0]     &   0.29 +- 0.03   &   1.45 +- 0.05   &   1.73 +- 0.11   &   0.32 +- 0.19   &   2.28 +- 1.29   &    4.21 +- 0.17   &    5.13 +- 1.54   &    3.88 +- 2.13    &   19.30 +- 2.94    &   21.00 +- 4.58    &   1.09 +- 0.29  \\ \hline
 [80.0-90.0]     &   0.21 +- 0.02   &   1.16 +- 0.04   &   1.23 +- 0.09   &   0.37 +- 0.20   &   1.62 +- 0.90   &    3.19 +- 0.14   &    3.46 +- 1.04   &    4.51 +- 2.28    &   15.73 +- 2.67    &    9.00 +- 3.00    &   0.57 +- 0.21  \\ \hline
