\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &    $t\bar{t}W$    &   Charge misid.   &  Nonprompt lep.   &     Total bkg     &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.82 +- 0.04   &   7.51 +- 0.10   &  12.20 +- 0.29   &  33.44 +-16.76   &  38.02 +-21.53   &   35.28 +- 0.45   &  150.95 +-45.29   &  165.93 +-66.72   &  444.14 +-85.13   &   481.00 +-21.93   &   1.08 +- 0.21  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.01 +- 0.00   &   0.07 +- 0.01   &   0.09 +- 0.02   &   0.11 +- 0.08   &   0.32 +- 0.26   &    0.21 +- 0.03   &    2.73 +- 0.82   &    2.69 +- 1.18   &    6.23 +- 1.47   &   15.00 +- 3.87    &   2.41 +- 0.84  \\ \hline
 [40.0-50.0]     &   0.76 +- 0.04   &   6.29 +- 0.10   &   8.29 +- 0.24   &   7.74 +- 3.91   &  13.64 +- 7.30   &   18.14 +- 0.35   &   26.31 +- 7.90   &   55.45 +-22.55   &  136.61 +-25.29   &   161.00 +-12.69   &   1.18 +- 0.24  \\ \hline
 [50.0-60.0]     &   0.89 +- 0.05   &   5.96 +- 0.09   &   7.60 +- 0.23   &   5.04 +- 2.55   &   5.29 +- 2.89   &   15.96 +- 0.33   &   16.26 +- 4.88   &   33.83 +-13.98   &   90.83 +-15.31   &   107.00 +-10.34   &   1.18 +- 0.23  \\ \hline
 [60.0-70.0]     &   0.83 +- 0.04   &   4.82 +- 0.08   &   5.49 +- 0.19   &   3.24 +- 1.66   &   3.85 +- 2.06   &   11.71 +- 0.29   &    9.71 +- 2.92   &   22.08 +- 9.21   &   61.73 +-10.02   &   63.00 +- 7.94    &   1.02 +- 0.21  \\ \hline
 [70.0-80.0]     &   0.75 +- 0.04   &   3.66 +- 0.07   &   4.18 +- 0.18   &   1.97 +- 1.02   &   3.46 +- 1.85   &    8.72 +- 0.25   &    6.36 +- 1.91   &   17.37 +- 7.39   &   46.49 +- 7.93   &   46.00 +- 6.78    &   0.99 +- 0.22  \\ \hline
 [80.0-90.0]     &   0.57 +- 0.04   &   2.60 +- 0.06   &   2.77 +- 0.16   &   1.63 +- 0.85   &   3.36 +- 2.27   &    6.49 +- 0.22   &    4.05 +- 1.22   &    9.56 +- 4.44   &   31.02 +- 5.21   &   48.00 +- 6.93    &   1.55 +- 0.34  \\ \hline
