\hline
 bin             &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.00 +- 0.00   &   1.62 +- 0.06   &  17.70 +- 9.64   &  15.50 +- 0.38   &  38.66 +-19.38   &  16.93 +- 0.17   &   77.04 +- 0.72   &  359.94 +-144.06   &   527.39 +-145.68   &   696.00 +-26.38   &   1.32 +- 0.37  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.13   &   0.11 +- 0.02   &   0.10 +- 0.08   &   0.16 +- 0.01   &    0.64 +- 0.06   &   10.37 +- 4.22    &    11.30 +- 4.22    &   20.00 +- 4.47    &   1.77 +- 0.77  \\ \hline
 [40.0-50.0]     &   0.00 +- 0.00   &   1.76 +- 0.07   &   7.72 +- 4.44   &   9.62 +- 0.30   &   7.55 +- 3.82   &  14.63 +- 0.16   &   41.32 +- 0.55   &   120.42 +-48.26   &   203.01 +-48.61    &   241.00 +-15.52   &   1.19 +- 0.29  \\ \hline
 [50.0-60.0]     &   0.00 +- 0.00   &   1.83 +- 0.07   &   4.44 +- 2.33   &   7.95 +- 0.28   &   5.75 +- 2.91   &  14.07 +- 0.15   &   33.70 +- 0.51   &   76.79 +-30.80    &   144.53 +-31.03    &   172.00 +-13.11   &   1.19 +- 0.27  \\ \hline
 [60.0-70.0]     &   0.00 +- 0.00   &   1.70 +- 0.07   &   2.50 +- 2.09   &   6.05 +- 0.24   &   3.89 +- 1.98   &  10.98 +- 0.14   &   25.64 +- 0.45   &   47.01 +-18.89    &    97.76 +-19.11    &   122.00 +-11.05   &   1.25 +- 0.27  \\ \hline
 [70.0-80.0]     &   0.00 +- 0.00   &   1.40 +- 0.06   &   2.88 +- 1.52   &   4.07 +- 0.21   &   2.70 +- 1.39   &   8.14 +- 0.12   &   18.81 +- 0.40   &   27.67 +-11.16    &    65.68 +-11.36    &   86.00 +- 9.27    &   1.31 +- 0.27  \\ \hline
 [80.0-90.0]     &   0.00 +- 0.00   &   1.15 +- 0.06   &   1.05 +- 0.69   &   2.94 +- 0.17   &   2.04 +- 1.06   &   5.83 +- 0.10   &   13.45 +- 0.34   &   17.11 +- 6.93    &    43.56 +- 7.05    &   56.00 +- 7.48    &   1.29 +- 0.27  \\ \hline
