\hline
 bin                                   &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &  Charge misid.   &    X+$\gamma$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.0500000007451--0.0450000006706]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0450000006706--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.0350000005215]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.07 +- 0.07   &    0.07 +- 0.07   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0350000005215--0.030000000447]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.08 +- 0.07   &   0.00 +- 0.00   &    0.06 +- 0.07   &    0.15 +- 0.10   &    1.00 +- 1.00   &   6.80 +- 8.21  \\ \hline
 [-0.030000000447--0.0250000003725]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.06   &   0.00 +- 0.00   &    0.43 +- 0.47   &    0.38 +- 0.47   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0250000003725--0.020000000298]    &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.03 +- 0.01   &   0.05 +- 0.14   &   0.00 +- 0.00   &    1.25 +- 1.02   &    1.35 +- 1.03   &    1.00 +- 1.00   &   0.74 +- 0.93  \\ \hline
 [-0.020000000298--0.0150000002235]    &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.09 +- 0.03   &   0.00 +- 0.22   &   0.04 +- 0.02   &    0.15 +- 0.19   &    0.26 +- 0.29   &    2.00 +- 1.41   &   7.71 +-10.25  \\ \hline
 [-0.0150000002235--0.010000000149]    &   0.00 +- 0.00   &   0.07 +- 0.02   &   0.03 +- 0.01   &   0.07 +- 0.04   &   0.36 +- 0.11   &   0.44 +- 0.33   &   0.19 +- 0.03   &    2.91 +- 1.42   &    4.07 +- 1.46   &    5.00 +- 2.24   &   1.23 +- 0.71  \\ \hline
 [-0.010000000149--0.00500000007451]   &   0.07 +- 0.01   &   0.60 +- 0.06   &   0.50 +- 0.03   &   0.63 +- 0.34   &   2.29 +- 0.69   &   1.54 +- 0.97   &   1.27 +- 0.10   &   16.21 +- 6.84   &   23.12 +- 6.95   &   39.00 +- 6.24   &   1.69 +- 0.57  \\ \hline
 [-0.00500000007451-0.0]               &   2.13 +- 0.08   &  12.74 +- 0.28   &  13.68 +- 0.16   &  16.56 +- 8.29   &  23.31 +- 7.00   &  28.79 +-16.26   &  37.74 +- 0.54   &  157.57 +-63.39   &  292.50 +-66.34   &  296.00 +-17.20   &   1.01 +- 0.24  \\ \hline
 [0.0-0.00500000007451]                &   2.31 +- 0.08   &  13.13 +- 0.28   &  13.64 +- 0.16   &  16.55 +- 8.29   &  22.99 +- 6.90   &  21.11 +-11.89   &  40.64 +- 0.56   &  155.09 +-62.38   &  285.47 +-64.42   &  324.00 +-18.00   &   1.13 +- 0.26  \\ \hline
 [0.00500000007451-0.010000000149]     &   0.05 +- 0.01   &   0.56 +- 0.06   &   0.50 +- 0.03   &   0.76 +- 0.39   &   2.18 +- 0.66   &   1.89 +- 1.10   &   1.40 +- 0.10   &   16.39 +- 6.95   &   23.73 +- 7.08   &   38.00 +- 6.16   &   1.60 +- 0.54  \\ \hline
 [0.010000000149-0.0150000002235]      &   0.01 +- 0.01   &   0.04 +- 0.02   &   0.04 +- 0.01   &   0.06 +- 0.04   &   0.35 +- 0.11   &   0.53 +- 0.34   &   0.03 +- 0.03   &    1.46 +- 0.78   &    2.51 +- 0.86   &   15.00 +- 3.87   &   5.97 +- 2.56  \\ \hline
 [0.0150000002235-0.020000000298]      &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.12 +- 0.04   &   0.06 +- 0.10   &   0.05 +- 0.02   &    0.86 +- 0.63   &    1.11 +- 0.64   &    3.00 +- 1.73   &   2.70 +- 2.21  \\ \hline
 [0.020000000298-0.0250000003725]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.05   &   0.01 +- 0.01   &    0.30 +- 0.32   &    0.29 +- 0.33   &    1.00 +- 1.00   &   3.41 +- 5.11  \\ \hline
 [0.0250000003725-0.030000000447]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.02 +- 0.01   &   0.01 +- 0.01   &    0.02 +- 0.09   &    0.08 +- 0.09   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.030000000447-0.0350000005215]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.01   &    0.00 +- 0.02   &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [0.0350000005215-0.040000000596]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.040000000596-0.0450000006706]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.07 +- 0.08   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.07 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0450000006706-0.0500000007451]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
\hline
 total                                 &   4.58 +- 0.11   &  27.16 +- 0.41   &  28.42 +- 0.23   &  34.65 +-11.74   &  51.76 +- 9.87   &  54.45 +-20.21   &  81.38 +- 0.79   &  352.75 +-89.49   &  635.15 +-93.02   &  725.00 +-26.93   &   1.14 +- 0.17  \\ \hline

