\hline
 bin                                   &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &   $t\bar{t}W$    &  Charge misid.   &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.14 +- 0.15   &    0.16 +- 0.15   &    1.00 +- 1.00   &   6.42 +- 8.92  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.06 +- 0.03   &    0.28 +- 0.23   &    0.36 +- 0.23   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.02 +- 0.01   &   0.11 +- 0.04   &    0.00 +- 0.00   &    0.16 +- 0.04   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.08   &   0.05 +- 0.02   &   0.30 +- 0.09   &    0.01 +- 0.01   &    0.42 +- 0.13   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.07 +- 0.02   &   0.05 +- 0.03   &   0.07 +- 0.13   &   0.13 +- 0.03   &   0.81 +- 0.25   &    1.96 +- 0.99   &    3.12 +- 1.03   &    1.00 +- 1.00   &   0.32 +- 0.34  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.05 +- 0.01   &   0.24 +- 0.02   &   0.34 +- 0.05   &   0.50 +- 0.26   &   0.98 +- 0.59   &   0.78 +- 0.08   &   4.02 +- 1.21   &    8.76 +- 3.80   &   15.67 +- 4.04   &   18.00 +- 4.24   &   1.15 +- 0.40  \\ \hline
 [-0.010000000149-0.0]                 &   0.80 +- 0.05   &   4.60 +- 0.09   &   5.63 +- 0.19   &   6.50 +- 3.26   &   2.55 +- 7.38   &  12.83 +- 0.32   &  27.73 +- 8.32   &   62.36 +-25.50   &  123.00 +-28.01   &  146.00 +-12.08   &   1.19 +- 0.29  \\ \hline
 [0.0-0.010000000149]                  &   0.83 +- 0.05   &   4.66 +- 0.09   &   5.60 +- 0.19   &   7.00 +- 3.51   &  16.42 +- 9.58   &  13.45 +- 0.32   &  28.26 +- 8.48   &   68.45 +-28.01   &  144.67 +-31.00   &  130.00 +-11.40   &   0.90 +- 0.21  \\ \hline
 [0.010000000149-0.020000000298]       &   0.04 +- 0.01   &   0.26 +- 0.02   &   0.30 +- 0.04   &   0.45 +- 0.23   &   1.43 +- 0.81   &   0.70 +- 0.08   &   4.01 +- 1.21   &   10.85 +- 4.74   &   18.04 +- 4.97   &   20.00 +- 4.47   &   1.11 +- 0.39  \\ \hline
 [0.020000000298-0.030000000447]       &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.08 +- 0.02   &   0.09 +- 0.05   &   0.00 +- 0.17   &   0.11 +- 0.03   &   0.88 +- 0.27   &    2.21 +- 1.21   &    3.29 +- 1.25   &    1.00 +- 1.00   &   0.30 +- 0.32  \\ \hline
 [0.030000000447-0.040000000596]       &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.03 +- 0.02   &   0.00 +- 0.11   &   0.02 +- 0.02   &   0.27 +- 0.09   &    0.83 +- 0.51   &    1.15 +- 0.53   &    3.00 +- 1.73   &   2.61 +- 1.92  \\ \hline
 [0.040000000596-0.0500000007451]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.13 +- 0.10   &   0.02 +- 0.01   &   0.10 +- 0.04   &    0.14 +- 0.15   &    0.39 +- 0.19   &    2.00 +- 1.41   &   5.09 +- 4.35  \\ \hline
 [0.0500000007451-0.0600000008941]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.17 +- 0.18   &    0.21 +- 0.18   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0600000008941-0.0700000010431]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &    0.14 +- 0.15   &    0.17 +- 0.15   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0700000010431-0.0800000011921]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0800000011921-0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.21 +- 0.22   &    0.22 +- 0.22   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0900000013411-0.10000000149]       &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
\hline
 total                                 &   1.74 +- 0.07   &   9.85 +- 0.13   &  12.10 +- 0.27   &  14.64 +- 4.81   &  21.50 +-12.13   &  28.13 +- 0.46   &  66.62 +-12.01   &  156.51 +-38.40   &  311.09 +-42.30   &  322.00 +-17.94   &   1.04 +- 0.15  \\ \hline

