\hline
 bin                                   &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &      Data/bkg     \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.05 +- 0.06   &    0.07 +- 0.06   &    0.00 +- 0.00   &    0.00 +- 0.00   \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.00 +- 0.00   \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.06 +- 0.07   &    0.07 +- 0.07   &    0.00 +- 0.00   &    0.00 +- 0.00   \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.08   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.19 +- 0.14   &    0.16 +- 0.16   &    1.00 +- 1.00   &    6.23 +- 8.75   \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.03 +- 0.03   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.03 +- 0.01   &    0.00 +- 0.02   &    0.05 +- 0.04   &    0.00 +- 0.00   &    0.00 +- 0.00   \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.02   &    0.68 +- 0.35   &    0.71 +- 0.35   &    2.00 +- 1.41   &    2.83 +- 2.45   \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.06 +- 0.02   &    0.96 +- 0.46   &    1.05 +- 0.46   &    2.00 +- 1.41   &    1.91 +- 1.59   \\ \hline
 [-0.030000000447--0.020000000298]     &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.02   &   0.04 +- 0.02   &   0.04 +- 0.02   &   0.04 +- 0.01   &   0.24 +- 0.04   &    4.71 +- 1.98   &    5.10 +- 1.98   &    4.00 +- 2.00   &    0.78 +- 0.50   \\ \hline
 [-0.020000000298--0.010000000149]     &   0.00 +- 0.00   &   0.07 +- 0.01   &   0.56 +- 0.35   &   0.26 +- 0.05   &   0.29 +- 0.17   &   0.42 +- 0.03   &   1.19 +- 0.10   &   16.81 +- 6.83   &   19.60 +- 6.84   &   25.00 +- 5.00   &    1.28 +- 0.51   \\ \hline
 [-0.010000000149-0.0]                 &   0.00 +- 0.00   &   1.68 +- 0.07   &   4.04 +- 2.16   &   6.09 +- 0.20   &   7.71 +- 3.88   &  10.45 +- 0.14   &  30.41 +- 0.49   &  107.54 +-43.15   &  167.93 +-43.38   &  195.00 +-13.96   &    1.16 +- 0.31   \\ \hline
 [0.0-0.010000000149]                  &   0.00 +- 0.00   &   1.62 +- 0.07   &   4.17 +- 2.21   &   6.53 +- 0.20   &   8.71 +- 4.37   &  10.34 +- 0.14   &  30.39 +- 0.49   &  105.74 +-42.43   &  167.50 +-42.72   &  186.00 +-13.64   &    1.11 +- 0.29   \\ \hline
 [0.010000000149-0.020000000298]       &   0.00 +- 0.00   &   0.07 +- 0.01   &   0.14 +- 0.18   &   0.30 +- 0.04   &   0.32 +- 0.19   &   0.39 +- 0.03   &   1.29 +- 0.10   &   16.87 +- 6.86   &   19.38 +- 6.86   &   20.00 +- 4.47   &    1.03 +- 0.43   \\ \hline
