\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &  Charge misid.   &    X+$\gamma$    &   $t\bar{t}W$    &   Nonprompt lep.   &     Total bkg      &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   2.45 +- 0.09   &  16.21 +- 0.32   &  16.13 +- 0.17   &  30.70 +-15.36   &  30.18 +- 9.06   &  40.23 +-22.15   &  49.36 +- 0.62   &  310.75 +-124.65   &  495.99 +-127.86   &  538.00 +-23.19   &   1.08 +- 0.28  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.14 +- 0.02   &   0.78 +- 0.07   &   0.99 +- 0.04   &   0.53 +- 0.27   &   0.94 +- 0.29   &   0.87 +- 0.50   &   2.33 +- 0.13   &    3.99 +- 1.81    &   10.57 +- 1.93    &    9.00 +- 3.00   &   0.85 +- 0.32  \\ \hline
 [30.0-40.0]     &   0.33 +- 0.03   &   1.67 +- 0.10   &   2.05 +- 0.06   &   0.69 +- 0.35   &   2.26 +- 0.68   &   2.81 +- 1.48   &   4.83 +- 0.19   &    7.98 +- 3.43    &   22.64 +- 3.82    &   32.00 +- 5.66   &   1.41 +- 0.35  \\ \hline
 [40.0-50.0]     &   0.30 +- 0.03   &   1.70 +- 0.10   &   1.98 +- 0.06   &   0.86 +- 0.43   &   5.32 +- 1.60   &   3.35 +- 1.84   &   5.55 +- 0.20   &    8.42 +- 3.91    &   27.48 +- 4.63    &   35.00 +- 5.92   &   1.27 +- 0.30  \\ \hline
 [50.0-60.0]     &   0.35 +- 0.03   &   1.72 +- 0.09   &   1.61 +- 0.05   &   0.50 +- 0.25   &   3.87 +- 1.16   &   2.93 +- 1.58   &   4.42 +- 0.18   &    6.74 +- 3.09    &   22.13 +- 3.68    &   28.00 +- 5.29   &   1.27 +- 0.32  \\ \hline
 [60.0-70.0]     &   0.20 +- 0.02   &   1.24 +- 0.08   &   1.32 +- 0.05   &   0.35 +- 0.18   &   2.85 +- 0.86   &   0.41 +- 0.46   &   3.54 +- 0.16   &    4.94 +- 2.22    &   14.86 +- 2.44    &   26.00 +- 5.10   &   1.75 +- 0.45  \\ \hline
 [70.0-80.0]     &   0.17 +- 0.02   &   0.91 +- 0.08   &   1.03 +- 0.04   &   0.30 +- 0.16   &   1.88 +- 0.57   &   0.99 +- 0.63   &   2.58 +- 0.14   &    2.56 +- 1.35    &   10.43 +- 1.61    &   21.00 +- 4.58   &   2.01 +- 0.54  \\ \hline
 [80.0-90.0]     &   0.13 +- 0.02   &   0.63 +- 0.06   &   0.84 +- 0.04   &   0.19 +- 0.10   &   1.29 +- 0.39   &   0.45 +- 0.38   &   2.09 +- 0.12   &    2.73 +- 1.33    &    8.34 +- 1.45    &   11.00 +- 3.32   &   1.32 +- 0.46  \\ \hline
 [90.0-100.0]    &   0.09 +- 0.01   &   0.50 +- 0.06   &   0.55 +- 0.03   &   0.11 +- 0.06   &   0.96 +- 0.29   &   0.81 +- 0.49   &   1.38 +- 0.11   &    1.08 +- 1.18    &    5.49 +- 1.31    &    7.00 +- 2.65   &   1.27 +- 0.57  \\ \hline
 [100.0-110.0]   &   0.07 +- 0.01   &   0.39 +- 0.05   &   0.46 +- 0.03   &   0.10 +- 0.06   &   0.63 +- 0.19   &   0.88 +- 0.52   &   1.09 +- 0.09   &    0.22 +- 0.15    &    3.84 +- 0.59    &    6.00 +- 2.45   &   1.56 +- 0.68  \\ \hline
 [110.0-120.0]   &   0.07 +- 0.01   &   0.36 +- 0.04   &   0.38 +- 0.03   &   0.04 +- 0.03   &   0.43 +- 0.13   &   0.24 +- 0.21   &   0.87 +- 0.08   &    0.22 +- 0.25    &    2.61 +- 0.37    &    2.00 +- 1.41   &   0.77 +- 0.55  \\ \hline
 [120.0-130.0]   &   0.05 +- 0.01   &   0.19 +- 0.04   &   0.24 +- 0.02   &   0.04 +- 0.02   &   0.31 +- 0.10   &   0.22 +- 0.19   &   0.73 +- 0.07   &    0.59 +- 0.41    &    2.35 +- 0.47    &    2.00 +- 1.41   &   0.85 +- 0.62  \\ \hline
 [130.0-140.0]   &   0.05 +- 0.01   &   0.18 +- 0.03   &   0.19 +- 0.02   &   0.02 +- 0.01   &   0.23 +- 0.07   &   0.05 +- 0.18   &   0.49 +- 0.06   &    1.34 +- 0.88    &    2.55 +- 0.90    &    1.00 +- 1.00   &   0.39 +- 0.42  \\ \hline
 [140.0-150.0]   &   0.02 +- 0.01   &   0.13 +- 0.03   &   0.18 +- 0.02   &   0.04 +- 0.03   &   0.16 +- 0.05   &   0.09 +- 0.11   &   0.35 +- 0.05   &    0.31 +- 0.24    &    1.28 +- 0.28    &    1.00 +- 1.00   &   0.78 +- 0.80  \\ \hline
 [150.0-160.0]   &   0.04 +- 0.01   &   0.12 +- 0.02   &   0.12 +- 0.01   &   0.03 +- 0.02   &   0.12 +- 0.04   &   0.03 +- 0.10   &   0.40 +- 0.05   &    0.23 +- 0.17    &    1.08 +- 0.21    &    2.00 +- 1.41   &   1.85 +- 1.36  \\ \hline
 [160.0-170.0]   &   0.02 +- 0.01   &   0.10 +- 0.02   &   0.11 +- 0.01   &   0.05 +- 0.03   &   0.07 +- 0.02   &   0.04 +- 0.02   &   0.34 +- 0.05   &    0.00 +- 0.00    &    0.71 +- 0.07    &    1.00 +- 1.00   &   1.41 +- 1.41  \\ \hline
 [170.0-180.0]   &   0.02 +- 0.01   &   0.08 +- 0.02   &   0.06 +- 0.01   &   0.00 +- 0.00   &   0.06 +- 0.02   &   0.02 +- 0.02   &   0.14 +- 0.04   &    0.64 +- 0.41    &    1.04 +- 0.41    &    2.00 +- 1.41   &   1.93 +- 1.57  \\ \hline
 [180.0-190.0]   &   0.02 +- 0.01   &   0.05 +- 0.02   &   0.04 +- 0.01   &   0.04 +- 0.04   &   0.05 +- 0.02   &   0.07 +- 0.06   &   0.18 +- 0.04   &    0.00 +- 0.00    &    0.45 +- 0.08    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [190.0-200.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.03 +- 0.01   &   0.00 +- 0.00   &   0.05 +- 0.02   &   0.09 +- 0.08   &   0.15 +- 0.03   &    0.00 +- 0.00    &    0.36 +- 0.09    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [200.0-210.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.06   &   0.07 +- 0.03   &    0.00 +- 0.00    &    0.08 +- 0.06    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [210.0-220.0]   &   0.01 +- 0.01   &   0.03 +- 0.01   &   0.03 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.07 +- 0.03   &    0.00 +- 0.00    &    0.17 +- 0.03    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [220.0-230.0]   &   0.01 +- 0.00   &   0.04 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.08   &   0.04 +- 0.02   &    0.00 +- 0.01    &    0.04 +- 0.08    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.09   &   0.05 +- 0.02   &    0.00 +- 0.00    &    0.09 +- 0.10    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.06 +- 0.02    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.05 +- 0.02   &    0.00 +- 0.00    &    0.09 +- 0.02    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.07   &   0.02 +- 0.02   &    0.00 +- 0.01    &    0.00 +- 0.08    &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.06 +- 0.02    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &    0.06 +- 0.08    &    0.09 +- 0.08    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [290.0-300.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.04 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [300.0-310.0]   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.06 +- 0.02   &    0.00 +- 0.00    &    0.07 +- 0.02    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [310.0-320.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [320.0-330.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [330.0-340.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [340.0-350.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    1.00 +- 1.00   &  44.90 +-49.42  \\ \hline
 [350.0-360.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [360.0-370.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [370.0-380.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.00 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [380.0-390.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [390.0-400.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [400.0-410.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [410.0-420.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.00 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [420.0-430.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [430.0-440.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [440.0-450.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [450.0-460.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [460.0-470.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.00 +- 0.01    &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [470.0-480.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.02   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.02    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [480.0-490.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00    &    0.00 +- 0.00    &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [490.0-500.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
\hline
 total           &   4.58 +- 0.11   &  27.16 +- 0.41   &  28.42 +- 0.23   &  34.65 +-15.38   &  51.76 +- 9.37   &  54.45 +-22.37   &  81.38 +- 0.79   &  352.75 +-124.86   &  635.15 +-128.12   &  725.00 +-26.93   &   1.14 +- 0.23  \\ \hline

