\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &    X+$\gamma$    &   Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   5.20 +- 0.13   &  31.68 +- 0.45   &  34.23 +- 0.25   &  58.46 +-29.25   &  58.29 +-31.83   &   78.77 +-23.64   &  104.62 +- 0.91   &  671.37 +-268.86   &  1042.62 +-273.34   &  1129.00 +-33.60   &   1.08 +- 0.29  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.31 +- 0.03   &   1.48 +- 0.10   &   2.03 +- 0.06   &   1.12 +- 0.58   &   1.46 +- 0.81   &    1.98 +- 0.60   &    5.04 +- 0.19   &    9.38 +- 3.97    &    22.81 +- 4.14    &   17.00 +- 4.12    &   0.75 +- 0.23  \\ \hline
 [30.0-40.0]     &   0.67 +- 0.04   &   3.45 +- 0.14   &   4.26 +- 0.09   &   1.30 +- 0.66   &   5.18 +- 2.66   &    4.28 +- 1.29   &   10.23 +- 0.28   &   17.34 +- 7.22    &    46.70 +- 7.83    &   60.00 +- 7.75    &   1.28 +- 0.27  \\ \hline
 [40.0-50.0]     &   0.64 +- 0.04   &   3.54 +- 0.15   &   4.24 +- 0.09   &   1.61 +- 0.81   &   4.93 +- 2.62   &    9.85 +- 2.96   &   12.01 +- 0.29   &   19.54 +- 8.30    &    56.37 +- 9.23    &   71.00 +- 8.43    &   1.26 +- 0.25  \\ \hline
 [50.0-60.0]     &   0.65 +- 0.04   &   3.04 +- 0.13   &   3.44 +- 0.08   &   1.06 +- 0.53   &   4.78 +- 2.51   &    7.02 +- 2.11   &    9.53 +- 0.27   &   16.51 +- 7.08    &    46.02 +- 7.83    &   56.00 +- 7.48    &   1.22 +- 0.26  \\ \hline
 [60.0-70.0]     &   0.42 +- 0.03   &   2.33 +- 0.12   &   2.82 +- 0.07   &   0.70 +- 0.35   &   1.56 +- 0.97   &    5.08 +- 1.53   &    7.98 +- 0.24   &    9.17 +- 3.93    &    30.07 +- 4.35    &   46.00 +- 6.78    &   1.53 +- 0.32  \\ \hline
 [70.0-80.0]     &   0.39 +- 0.03   &   1.75 +- 0.10   &   2.20 +- 0.06   &   0.54 +- 0.28   &   2.04 +- 1.13   &    3.36 +- 1.01   &    5.38 +- 0.21   &    7.44 +- 3.44    &    23.11 +- 3.78    &   38.00 +- 6.16    &   1.64 +- 0.38  \\ \hline
 [80.0-90.0]     &   0.26 +- 0.03   &   1.11 +- 0.09   &   1.69 +- 0.05   &   0.36 +- 0.19   &   1.41 +- 0.79   &    2.34 +- 0.71   &    4.53 +- 0.18   &    6.64 +- 3.07    &    18.35 +- 3.26    &   21.00 +- 4.58    &   1.14 +- 0.32  \\ \hline
 [90.0-100.0]    &   0.25 +- 0.03   &   1.08 +- 0.08   &   1.22 +- 0.05   &   0.35 +- 0.20   &   1.69 +- 0.94   &    1.65 +- 0.50   &    3.03 +- 0.16   &    3.00 +- 1.74    &    12.28 +- 2.06    &   14.00 +- 3.74    &   1.14 +- 0.36  \\ \hline
