\hline
 bin             &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.00 +- 0.00   &   1.91 +- 0.08   &   4.90 +- 2.63   &   8.12 +- 0.23   &  15.00 +- 7.52   &  12.49 +- 0.16   &  38.37 +- 0.56   &  230.97 +-92.51   &  311.76 +-92.86   &  349.00 +-18.68   &   1.12 +- 0.34  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.10 +- 0.02   &   0.00 +- 0.15   &   0.34 +- 0.05   &   0.34 +- 0.20   &   0.72 +- 0.04   &   1.83 +- 0.12   &    3.60 +- 1.61   &    6.84 +- 1.63   &    5.00 +- 2.24   &   0.73 +- 0.37  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.21 +- 0.02   &   1.08 +- 0.59   &   0.98 +- 0.08   &   0.33 +- 0.18   &   1.49 +- 0.05   &   3.76 +- 0.17   &    5.39 +- 2.27   &   13.23 +- 2.36   &   12.00 +- 3.46   &   0.91 +- 0.31  \\ \hline
 [40.0-50.0]     &   0.00 +- 0.00   &   0.22 +- 0.02   &   0.57 +- 0.33   &   1.00 +- 0.08   &   0.41 +- 0.21   &   1.55 +- 0.05   &   4.58 +- 0.18   &    5.98 +- 2.53   &   14.30 +- 2.57   &   19.00 +- 4.36   &   1.33 +- 0.39  \\ \hline
 [50.0-60.0]     &   0.00 +- 0.00   &   0.19 +- 0.02   &   0.86 +- 0.47   &   0.75 +- 0.07   &   0.26 +- 0.14   &   1.28 +- 0.05   &   3.50 +- 0.16   &    3.87 +- 1.70   &   10.71 +- 1.78   &   14.00 +- 3.74   &   1.31 +- 0.41  \\ \hline
 [60.0-70.0]     &   0.00 +- 0.00   &   0.15 +- 0.02   &   0.13 +- 0.19   &   0.63 +- 0.06   &   0.22 +- 0.11   &   1.05 +- 0.04   &   2.95 +- 0.15   &    2.32 +- 1.03   &    7.44 +- 1.07   &   11.00 +- 3.32   &   1.48 +- 0.49  \\ \hline
 [70.0-80.0]     &   0.00 +- 0.00   &   0.13 +- 0.02   &   0.40 +- 0.26   &   0.36 +- 0.05   &   0.15 +- 0.09   &   0.81 +- 0.04   &   1.80 +- 0.13   &    1.77 +- 0.83   &    5.42 +- 0.89   &   11.00 +- 3.32   &   2.03 +- 0.70  \\ \hline
 [80.0-90.0]     &   0.00 +- 0.00   &   0.09 +- 0.01   &   0.26 +- 0.16   &   0.22 +- 0.04   &   0.08 +- 0.04   &   0.59 +- 0.03   &   1.73 +- 0.11   &    1.46 +- 0.72   &    4.43 +- 0.75   &    8.00 +- 2.83   &   1.80 +- 0.71  \\ \hline
