\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &  Charge misid.   &    X+$\gamma$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.55 +- 0.04   &   6.55 +- 0.19   &   5.57 +- 0.10   &  19.11 +- 9.57   &  33.38 +-10.02   &  27.90 +-15.83   &  25.17 +- 0.42   &  177.46 +-71.33   &  295.68 +-74.37   &  329.00 +-18.14   &   1.11 +- 0.29  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.06 +- 0.02   &   0.04 +- 0.01   &   0.06 +- 0.04   &   0.08 +- 0.03   &   0.01 +- 0.05   &   0.04 +- 0.03   &    0.91 +- 0.59   &    1.22 +- 0.60   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [40.0-50.0]     &   0.60 +- 0.04   &   4.45 +- 0.16   &   5.06 +- 0.10   &   4.66 +- 2.35   &   6.82 +- 2.05   &  13.39 +- 8.66   &  14.08 +- 0.33   &   61.62 +-24.95   &  110.67 +-26.59   &  129.00 +-11.36   &   1.17 +- 0.30  \\ \hline
 [50.0-60.0]     &   0.64 +- 0.04   &   4.24 +- 0.16   &   4.57 +- 0.09   &   3.06 +- 1.55   &   4.02 +- 1.21   &   5.43 +- 2.84   &  10.74 +- 0.29   &   42.66 +-17.47   &   75.36 +-17.81   &   70.00 +- 8.37   &   0.93 +- 0.25  \\ \hline
 [60.0-70.0]     &   0.56 +- 0.04   &   3.09 +- 0.14   &   3.69 +- 0.08   &   2.06 +- 1.04   &   2.70 +- 0.81   &   2.20 +- 1.25   &   8.03 +- 0.25   &   27.96 +-11.58   &   50.29 +-11.72   &   58.00 +- 7.62   &   1.15 +- 0.31  \\ \hline
 [70.0-80.0]     &   0.50 +- 0.04   &   2.38 +- 0.12   &   2.70 +- 0.07   &   1.71 +- 0.88   &   1.58 +- 0.48   &   1.48 +- 0.86   &   6.00 +- 0.22   &   11.57 +- 4.91   &   27.91 +- 5.09   &   38.00 +- 6.16   &   1.36 +- 0.33  \\ \hline
 [80.0-90.0]     &   0.45 +- 0.04   &   1.70 +- 0.11   &   1.92 +- 0.06   &   1.02 +- 0.52   &   1.08 +- 0.33   &   1.48 +- 0.83   &   4.25 +- 0.19   &   11.96 +- 5.22   &   23.87 +- 5.33   &   31.00 +- 5.57   &   1.30 +- 0.37  \\ \hline
 [90.0-100.0]    &   0.35 +- 0.03   &   1.06 +- 0.09   &   1.34 +- 0.05   &   0.65 +- 0.35   &   0.65 +- 0.20   &   0.98 +- 0.57   &   3.03 +- 0.16   &    5.94 +- 2.79   &   14.02 +- 2.88   &   16.00 +- 4.00   &   1.14 +- 0.37  \\ \hline
 [100.0-110.0]   &   0.23 +- 0.02   &   0.84 +- 0.07   &   0.95 +- 0.04   &   0.48 +- 0.26   &   0.40 +- 0.12   &   0.66 +- 0.44   &   2.32 +- 0.14   &    5.07 +- 2.50   &   10.96 +- 2.56   &   14.00 +- 3.74   &   1.28 +- 0.45  \\ \hline
 [110.0-120.0]   &   0.19 +- 0.02   &   0.79 +- 0.07   &   0.69 +- 0.04   &   0.42 +- 0.22   &   0.33 +- 0.10   &   0.15 +- 0.19   &   1.80 +- 0.12   &    2.90 +- 1.51   &    7.27 +- 1.55   &    9.00 +- 3.00   &   1.24 +- 0.49  \\ \hline
 [120.0-130.0]   &   0.13 +- 0.02   &   0.49 +- 0.06   &   0.49 +- 0.03   &   0.25 +- 0.14   &   0.21 +- 0.07   &   0.39 +- 0.28   &   1.42 +- 0.11   &    1.24 +- 0.63   &    4.62 +- 0.71   &   12.00 +- 3.46   &   2.60 +- 0.85  \\ \hline
 [130.0-140.0]   &   0.10 +- 0.02   &   0.38 +- 0.05   &   0.37 +- 0.03   &   0.22 +- 0.12   &   0.16 +- 0.05   &   0.35 +- 0.21   &   1.12 +- 0.09   &    1.10 +- 0.62   &    3.79 +- 0.68   &   11.00 +- 3.32   &   2.90 +- 1.02  \\ \hline
 [140.0-150.0]   &   0.06 +- 0.01   &   0.26 +- 0.04   &   0.26 +- 0.02   &   0.22 +- 0.13   &   0.09 +- 0.03   &   0.00 +- 0.09   &   0.69 +- 0.08   &    0.27 +- 0.18   &    1.80 +- 0.26   &    3.00 +- 1.73   &   1.67 +- 0.99  \\ \hline
 [150.0-160.0]   &   0.04 +- 0.01   &   0.22 +- 0.04   &   0.20 +- 0.02   &   0.12 +- 0.07   &   0.06 +- 0.02   &   0.06 +- 0.10   &   0.68 +- 0.07   &    0.36 +- 0.25   &    1.75 +- 0.29   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [160.0-170.0]   &   0.04 +- 0.01   &   0.14 +- 0.03   &   0.17 +- 0.02   &   0.16 +- 0.10   &   0.04 +- 0.02   &   0.03 +- 0.02   &   0.55 +- 0.06   &    0.23 +- 0.27   &    1.36 +- 0.30   &    2.00 +- 1.41   &   1.47 +- 1.09  \\ \hline
 [170.0-180.0]   &   0.03 +- 0.01   &   0.10 +- 0.03   &   0.10 +- 0.01   &   0.06 +- 0.04   &   0.04 +- 0.01   &   0.02 +- 0.01   &   0.34 +- 0.05   &    0.20 +- 0.23   &    0.90 +- 0.24   &    1.00 +- 1.00   &   1.11 +- 1.15  \\ \hline
 [180.0-190.0]   &   0.04 +- 0.01   &   0.08 +- 0.02   &   0.06 +- 0.01   &   0.13 +- 0.07   &   0.03 +- 0.01   &   0.03 +- 0.08   &   0.32 +- 0.05   &    1.06 +- 1.17   &    1.74 +- 1.17   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [190.0-200.0]   &   0.02 +- 0.01   &   0.07 +- 0.02   &   0.06 +- 0.01   &   0.05 +- 0.03   &   0.01 +- 0.01   &   0.01 +- 0.10   &   0.13 +- 0.04   &    0.00 +- 0.01   &    0.34 +- 0.12   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
