\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &    X+$\gamma$    &   Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   1.18 +- 0.06   &  13.05 +- 0.28   &  11.85 +- 0.15   &  36.66 +-18.35   &  40.76 +-23.41   &   78.09 +-23.43   &   52.55 +- 0.61   &  387.93 +-155.47   &   622.07 +-160.02   &   690.00 +-26.27   &   1.11 +- 0.29  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.01 +- 0.00   &   0.10 +- 0.02   &   0.10 +- 0.01   &   0.08 +- 0.05   &   0.17 +- 0.13   &    0.20 +- 0.06   &    0.24 +- 0.04   &    1.90 +- 0.96    &     2.78 +- 0.98    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [40.0-50.0]     &   1.19 +- 0.06   &   9.01 +- 0.23   &  10.66 +- 0.14   &   8.74 +- 4.39   &  18.61 +-10.84   &   14.97 +- 4.50   &   29.94 +- 0.48   &   137.49 +-55.28   &   230.61 +-56.68    &   253.00 +-15.91   &   1.10 +- 0.28  \\ \hline
 [50.0-60.0]     &   1.33 +- 0.06   &   8.20 +- 0.22   &   9.65 +- 0.13   &   6.18 +- 3.11   &   9.30 +- 4.79   &    8.78 +- 2.64   &   23.36 +- 0.43   &   87.99 +-35.57    &   154.79 +-36.12    &   152.00 +-12.33   &   0.98 +- 0.24  \\ \hline
 [60.0-70.0]     &   1.23 +- 0.06   &   6.05 +- 0.20   &   7.73 +- 0.12   &   3.87 +- 1.95   &   4.16 +- 2.21   &    5.59 +- 1.68   &   17.38 +- 0.38   &   56.29 +-22.86    &   102.29 +-23.11    &   108.00 +-10.39   &   1.06 +- 0.26  \\ \hline
 [70.0-80.0]     &   1.08 +- 0.06   &   4.56 +- 0.17   &   5.66 +- 0.10   &   2.96 +- 1.50   &   3.53 +- 1.86   &    3.58 +- 1.08   &   12.62 +- 0.32   &   30.57 +-12.56    &    64.54 +-12.84    &   80.00 +- 8.94    &   1.24 +- 0.28  \\ \hline
 [80.0-90.0]     &   0.86 +- 0.05   &   2.85 +- 0.15   &   4.07 +- 0.09   &   1.96 +- 0.99   &   2.74 +- 1.46   &    2.33 +- 0.70   &    9.20 +- 0.28   &   23.63 +- 9.94    &    47.63 +-10.12    &   62.00 +- 7.87    &   1.30 +- 0.32  \\ \hline
 [90.0-100.0]    &   0.75 +- 0.05   &   2.14 +- 0.12   &   2.91 +- 0.07   &   1.40 +- 0.72   &   1.80 +- 1.00   &    1.45 +- 0.44   &    6.51 +- 0.24   &   12.67 +- 5.50    &    29.64 +- 5.66    &   39.00 +- 6.24    &   1.32 +- 0.33  \\ \hline
 [100.0-110.0]   &   0.49 +- 0.04   &   1.61 +- 0.11   &   2.08 +- 0.06   &   0.79 +- 0.41   &   1.74 +- 1.02   &    0.94 +- 0.29   &    5.18 +- 0.21   &   12.26 +- 5.36    &    25.10 +- 5.49    &   24.00 +- 4.90    &   0.96 +- 0.29  \\ \hline
 [110.0-120.0]   &   0.42 +- 0.04   &   1.41 +- 0.09   &   1.44 +- 0.05   &   0.78 +- 0.40   &   0.49 +- 0.36   &    0.74 +- 0.23   &    3.85 +- 0.18   &    4.79 +- 2.19    &    13.92 +- 2.28    &   21.00 +- 4.58    &   1.51 +- 0.41  \\ \hline
 [120.0-130.0]   &   0.28 +- 0.03   &   0.86 +- 0.08   &   1.03 +- 0.04   &   0.63 +- 0.32   &   0.42 +- 0.31   &    0.44 +- 0.14   &    2.89 +- 0.16   &    4.25 +- 1.92    &    10.78 +- 1.99    &   16.00 +- 4.00    &   1.48 +- 0.46  \\ \hline
 [130.0-140.0]   &   0.23 +- 0.03   &   0.66 +- 0.07   &   0.77 +- 0.04   &   0.51 +- 0.27   &   0.53 +- 0.30   &    0.32 +- 0.10   &    2.25 +- 0.14   &    3.11 +- 1.53    &     8.38 +- 1.59    &   18.00 +- 4.24    &   2.15 +- 0.65  \\ \hline
 [140.0-150.0]   &   0.16 +- 0.02   &   0.46 +- 0.06   &   0.55 +- 0.03   &   0.38 +- 0.21   &   0.10 +- 0.16   &    0.25 +- 0.08   &    1.62 +- 0.12   &    1.35 +- 0.69    &     4.87 +- 0.75    &    8.00 +- 2.83    &   1.64 +- 0.63  \\ \hline
 [150.0-160.0]   &   0.14 +- 0.02   &   0.39 +- 0.05   &   0.38 +- 0.03   &   0.26 +- 0.14   &   0.15 +- 0.14   &    0.19 +- 0.06   &    1.39 +- 0.11   &    0.68 +- 0.38    &     3.57 +- 0.45    &    5.00 +- 2.24    &   1.40 +- 0.65  \\ \hline
 [160.0-170.0]   &   0.11 +- 0.02   &   0.29 +- 0.04   &   0.33 +- 0.02   &   0.24 +- 0.13   &   0.20 +- 0.14   &    0.12 +- 0.04   &    1.09 +- 0.09   &    0.58 +- 0.38    &     2.95 +- 0.44    &    4.00 +- 2.00    &   1.36 +- 0.71  \\ \hline
 [170.0-180.0]   &   0.09 +- 0.02   &   0.21 +- 0.04   &   0.22 +- 0.02   &   0.21 +- 0.12   &   0.13 +- 0.10   &    0.08 +- 0.03   &    0.74 +- 0.08   &    0.46 +- 0.34    &     2.13 +- 0.39    &    4.00 +- 2.00    &   1.87 +- 1.00  \\ \hline
 [180.0-190.0]   &   0.07 +- 0.01   &   0.17 +- 0.03   &   0.15 +- 0.02   &   0.26 +- 0.14   &   0.10 +- 0.11   &    0.07 +- 0.03   &    0.66 +- 0.07   &    1.11 +- 1.18    &     2.59 +- 1.19    &    2.00 +- 1.41    &   0.77 +- 0.65  \\ \hline
 [190.0-200.0]   &   0.04 +- 0.01   &   0.11 +- 0.03   &   0.10 +- 0.01   &   0.09 +- 0.05   &   0.02 +- 0.10   &    0.04 +- 0.02   &    0.42 +- 0.06   &    0.20 +- 0.17    &     1.02 +- 0.22    &    2.00 +- 1.41    &   1.95 +- 1.44  \\ \hline
 [200.0-210.0]   &   0.03 +- 0.01   &   0.08 +- 0.03   &   0.09 +- 0.01   &   0.04 +- 0.03   &   0.01 +- 0.01   &    0.04 +- 0.02   &    0.39 +- 0.06   &    0.10 +- 0.13    &     0.78 +- 0.15    &    2.00 +- 1.41    &   2.56 +- 1.87  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.09 +- 0.03   &   0.03 +- 0.01   &   0.10 +- 0.07   &   0.04 +- 0.03   &    0.05 +- 0.02   &    0.29 +- 0.05   &    0.04 +- 0.06    &     0.65 +- 0.11    &    1.00 +- 1.00    &   1.54 +- 1.56  \\ \hline
 [220.0-230.0]   &   0.02 +- 0.01   &   0.04 +- 0.02   &   0.05 +- 0.01   &   0.07 +- 0.04   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.19 +- 0.04   &    0.27 +- 0.25    &     0.66 +- 0.26    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.01   &   0.02 +- 0.02   &   0.04 +- 0.01   &   0.07 +- 0.04   &   0.01 +- 0.01   &    0.02 +- 0.01   &    0.07 +- 0.04   &    0.00 +- 0.01    &     0.23 +- 0.06    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.00   &   0.06 +- 0.02   &   0.03 +- 0.01   &   0.03 +- 0.02   &   0.00 +- 0.07   &    0.02 +- 0.01   &    0.06 +- 0.03   &    0.00 +- 0.01    &     0.14 +- 0.09    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [250.0-260.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.02 +- 0.01   &   0.02 +- 0.01   &   0.01 +- 0.01   &    0.01 +- 0.00   &    0.07 +- 0.03   &    0.00 +- 0.00    &     0.16 +- 0.04    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.01   &    0.02 +- 0.01   &    0.09 +- 0.03   &    0.00 +- 0.00    &     0.13 +- 0.04    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
