\hline
 bin                                   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &  Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.01 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.00   &    0.03 +- 0.03    &     0.04 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.00 +- 0.01   &    0.06 +- 0.05    &     0.08 +- 0.05    &    1.00 +- 1.00    &  13.21 +-16.15  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.00   &    0.08 +- 0.06    &     0.09 +- 0.07    &    1.00 +- 1.00    &  10.74 +-13.10  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00   &    0.11 +- 0.08    &     0.16 +- 0.08    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.06 +- 0.02   &    0.02 +- 0.01   &    0.44 +- 0.23    &     0.54 +- 0.23    &    1.00 +- 1.00    &   1.86 +- 2.02  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.01 +- 0.16   &   0.03 +- 0.01   &   0.01 +- 0.03   &   0.01 +- 0.00   &   0.17 +- 0.05   &    0.07 +- 0.02   &    1.04 +- 0.59    &     1.33 +- 0.61    &    4.00 +- 2.00    &   3.00 +- 2.04  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.01 +- 0.00   &   0.04 +- 0.20   &   0.09 +- 0.02   &   0.09 +- 0.06   &   0.04 +- 0.01   &   0.93 +- 0.28   &    0.19 +- 0.03   &    2.60 +- 1.20    &     3.99 +- 1.25    &   14.00 +- 3.74    &   3.51 +- 1.44  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.09 +- 0.01   &   1.17 +- 0.70   &   0.51 +- 0.06   &   0.73 +- 0.39   &   0.46 +- 0.02   &   4.95 +- 1.49   &    1.75 +- 0.09   &   14.87 +- 6.14    &    24.54 +- 6.37    &   43.00 +- 6.56    &   1.75 +- 0.53  \\ \hline
 [-0.010000000149-0.0]                 &   5.31 +- 0.09   &  26.66 +-13.99   &  28.40 +- 0.46   &  28.42 +-14.24   &  32.27 +- 0.19   &  42.07 +-12.62   &   98.20 +- 0.72   &   236.17 +-94.62   &   497.50 +-97.53    &   620.00 +-24.90   &   1.25 +- 0.25  \\ \hline
 [0.0-0.010000000149]                  &   5.37 +- 0.10   &  26.06 +-13.48   &  28.70 +- 0.45   &  30.23 +-15.15   &  32.26 +- 0.19   &  42.76 +-12.83   &   98.30 +- 0.72   &   232.25 +-93.06   &   495.93 +-96.10    &   551.00 +-23.47   &   1.11 +- 0.22  \\ \hline
 [0.010000000149-0.020000000298]       &   0.10 +- 0.01   &   0.39 +- 0.53   &   0.49 +- 0.06   &   0.61 +- 0.34   &   0.53 +- 0.02   &   5.56 +- 1.67   &    1.83 +- 0.09   &   18.85 +- 7.75    &    28.34 +- 7.96    &   37.00 +- 6.08    &   1.31 +- 0.42  \\ \hline
 [0.020000000298-0.030000000447]       &   0.01 +- 0.01   &   0.36 +- 0.33   &   0.06 +- 0.02   &   0.04 +- 0.06   &   0.05 +- 0.01   &   0.99 +- 0.30   &    0.23 +- 0.03   &    2.60 +- 1.17    &     4.33 +- 1.26    &    5.00 +- 2.24    &   1.15 +- 0.61  \\ \hline
 [0.030000000447-0.040000000596]       &   0.00 +- 0.00   &   0.01 +- 0.07   &   0.00 +- 0.01   &   0.06 +- 0.04   &   0.02 +- 0.00   &   0.23 +- 0.07   &    0.07 +- 0.02   &    0.90 +- 0.43    &     1.28 +- 0.45    &    5.00 +- 2.24    &   3.90 +- 2.21  \\ \hline
 [0.040000000596-0.0500000007451]      &   0.00 +- 0.00   &   0.06 +- 0.07   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.08 +- 0.03   &    0.02 +- 0.01   &    0.23 +- 0.13    &     0.40 +- 0.15    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [0.0500000007451-0.0600000008941]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.01 +- 0.00   &    0.08 +- 0.09    &     0.12 +- 0.09    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [0.0600000008941-0.0700000010431]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [0.0700000010431-0.0800000011921]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.06 +- 0.06    &     0.06 +- 0.06    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [0.0800000011921-0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.03 +- 0.03    &     0.04 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [0.0900000013411-0.10000000149]       &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.03 +- 0.03    &     0.04 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
\hline
 total                                 &  10.90 +- 0.14   &  54.77 +-19.46   &  58.32 +- 0.65   &  60.20 +-20.80   &  65.65 +- 0.27   &  97.87 +-18.14   &  200.70 +- 1.03   &  510.43 +-133.10   &  1058.84 +-137.32   &  1282.00 +-35.81   &   1.21 +- 0.16  \\ \hline

