\hline
 bin                                   &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.04 +- 0.04   &    0.04 +- 0.04   &    1.00 +- 1.00   &  22.34 +-30.25  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.11 +- 0.08   &    0.12 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.23 +- 0.14   &    0.25 +- 0.14   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.15 +- 0.10   &    0.19 +- 0.10   &    1.00 +- 1.00   &   5.39 +- 6.15  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.04   &   0.01 +- 0.00   &   0.04 +- 0.02   &    0.85 +- 0.39   &    0.94 +- 0.39   &    3.00 +- 1.73   &   3.21 +- 2.28  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.00 +- 0.00   &   0.03 +- 0.01   &   0.04 +- 0.02   &   0.13 +- 0.04   &   0.20 +- 0.12   &   0.13 +- 0.01   &   0.63 +- 0.06   &    4.62 +- 1.90   &    5.78 +- 1.91   &   11.00 +- 3.32   &   1.90 +- 0.85  \\ \hline
 [-0.010000000149-0.0]                 &   0.00 +- 0.00   &   1.84 +- 0.06   &   3.27 +- 1.79   &   7.23 +- 0.25   &   7.62 +- 3.84   &  11.65 +- 0.12   &  35.03 +- 0.45   &   83.95 +-33.63   &  150.60 +-33.90   &  208.00 +-14.42   &   1.38 +- 0.33  \\ \hline
