\hline
 bin                                   &   $t\bar{t}$VV   &   $t\bar{t}H$    &       Rare       &   $t\bar{t}Z$    &    X+$\gamma$    &   $t\bar{t}W$    &  Charge misid.   &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.05 +- 0.02   &    0.00 +- 0.00   &    0.06 +- 0.02   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.10   &   0.01 +- 0.01   &   0.14 +- 0.05   &    0.34 +- 0.29   &    0.44 +- 0.31   &    1.00 +- 1.00   &   2.29 +- 2.81  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.03 +- 0.01   &   0.00 +- 0.06   &   0.07 +- 0.02   &   0.52 +- 0.16   &    1.24 +- 0.71   &    1.88 +- 0.73   &    2.00 +- 1.41   &   1.06 +- 0.86  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.03 +- 0.01   &   0.11 +- 0.01   &   0.19 +- 0.12   &   0.19 +- 0.04   &   0.39 +- 0.39   &   0.42 +- 0.04   &   2.54 +- 0.77   &    3.57 +- 1.67   &    7.45 +- 1.88   &    8.00 +- 2.83   &   1.07 +- 0.47  \\ \hline
 [-0.010000000149-0.0]                 &   0.95 +- 0.04   &   5.08 +- 0.07   &   6.63 +- 3.35   &   6.61 +- 0.20   &   5.56 +- 2.98   &  15.94 +- 0.28   &  24.21 +- 7.27   &   33.75 +-13.83   &   98.72 +-16.25   &  110.00 +-10.49   &   1.11 +- 0.21  \\ \hline
