\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &       Rare       &   $t\bar{t}Z$    &    X+$\gamma$    &   $t\bar{t}W$    &  Charge misid.   &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   1.04 +- 0.04   &   5.84 +- 0.08   &  11.49 +- 5.78   &   7.95 +- 0.23   &   9.17 +- 4.81   &  19.58 +- 0.32   &  39.28 +-11.79   &   71.97 +-29.12   &  166.33 +-32.30   &  185.00 +-13.60   &   1.11 +- 0.23  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [20.0-30.0]     &   0.07 +- 0.01   &   0.39 +- 0.02   &   0.22 +- 0.12   &   0.42 +- 0.04   &   0.18 +- 0.22   &   0.92 +- 0.07   &   0.93 +- 0.28   &    1.20 +- 0.69   &    4.34 +- 0.79   &    7.00 +- 2.65   &   1.61 +- 0.68  \\ \hline
 [30.0-40.0]     &   0.12 +- 0.01   &   0.81 +- 0.03   &   0.30 +- 0.16   &   0.92 +- 0.07   &   1.00 +- 0.59   &   2.32 +- 0.10   &   1.91 +- 0.58   &    2.93 +- 1.43   &   10.30 +- 1.67   &   13.00 +- 3.61   &   1.26 +- 0.41  \\ \hline
 [40.0-50.0]     &   0.13 +- 0.01   &   0.75 +- 0.03   &   0.39 +- 0.22   &   0.89 +- 0.07   &   1.16 +- 0.66   &   2.28 +- 0.10   &   3.83 +- 1.15   &    1.98 +- 1.03   &   11.41 +- 1.70   &   12.00 +- 3.46   &   1.05 +- 0.34  \\ \hline
 [50.0-60.0]     &   0.12 +- 0.01   &   0.58 +- 0.02   &   0.26 +- 0.14   &   0.75 +- 0.07   &   0.85 +- 0.58   &   1.87 +- 0.09   &   2.71 +- 0.82   &    1.41 +- 0.84   &    8.55 +- 1.32   &   15.00 +- 3.87   &   1.75 +- 0.53  \\ \hline
 [60.0-70.0]     &   0.08 +- 0.01   &   0.55 +- 0.02   &   0.16 +- 0.08   &   0.53 +- 0.06   &   0.30 +- 0.29   &   1.37 +- 0.08   &   1.84 +- 0.55   &    1.83 +- 0.96   &    6.66 +- 1.15   &    5.00 +- 2.24   &   0.75 +- 0.36  \\ \hline
 [70.0-80.0]     &   0.07 +- 0.01   &   0.38 +- 0.02   &   0.06 +- 0.09   &   0.43 +- 0.06   &   0.39 +- 0.26   &   1.01 +- 0.07   &   1.34 +- 0.40   &    0.29 +- 0.22   &    3.96 +- 0.55   &    5.00 +- 2.24   &   1.26 +- 0.59  \\ \hline
 [80.0-90.0]     &   0.05 +- 0.01   &   0.29 +- 0.02   &   0.05 +- 0.03   &   0.35 +- 0.04   &   0.37 +- 0.23   &   0.86 +- 0.06   &   0.95 +- 0.29   &    0.60 +- 0.43   &    3.52 +- 0.57   &    3.00 +- 1.73   &   0.85 +- 0.51  \\ \hline
 [90.0-100.0]    &   0.04 +- 0.01   &   0.21 +- 0.01   &   0.12 +- 0.09   &   0.22 +- 0.03   &   0.02 +- 0.14   &   0.64 +- 0.05   &   0.64 +- 0.20   &    0.44 +- 0.44   &    2.32 +- 0.51   &    5.00 +- 2.24   &   2.15 +- 1.08  \\ \hline
 [100.0-110.0]   &   0.03 +- 0.01   &   0.16 +- 0.01   &   0.06 +- 0.03   &   0.15 +- 0.03   &   0.33 +- 0.23   &   0.52 +- 0.05   &   0.45 +- 0.14   &    0.16 +- 0.15   &    1.86 +- 0.31   &    1.00 +- 1.00   &   0.54 +- 0.55  \\ \hline
 [110.0-120.0]   &   0.03 +- 0.01   &   0.13 +- 0.01   &   0.03 +- 0.02   &   0.16 +- 0.03   &   0.05 +- 0.11   &   0.37 +- 0.04   &   0.31 +- 0.10   &    0.74 +- 0.61   &    1.81 +- 0.63   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [120.0-130.0]   &   0.03 +- 0.01   &   0.08 +- 0.01   &   0.03 +- 0.02   &   0.12 +- 0.02   &   0.01 +- 0.09   &   0.22 +- 0.03   &   0.22 +- 0.07   &    0.34 +- 0.38   &    1.05 +- 0.40   &    1.00 +- 1.00   &   0.95 +- 1.02  \\ \hline
 [130.0-140.0]   &   0.01 +- 0.00   &   0.08 +- 0.01   &   0.02 +- 0.01   &   0.11 +- 0.02   &   0.12 +- 0.09   &   0.23 +- 0.03   &   0.16 +- 0.05   &    0.41 +- 0.39   &    1.14 +- 0.41   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [140.0-150.0]   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.02 +- 0.01   &   0.04 +- 0.02   &   0.15 +- 0.12   &   0.13 +- 0.03   &   0.14 +- 0.05   &    0.00 +- 0.00   &    0.55 +- 0.13   &    2.00 +- 1.41   &   3.66 +- 2.73  \\ \hline
