\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    X+$\gamma$    &  Charge misid.   &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   2.80 +- 0.07   &  17.93 +- 0.37   &  27.37 +-13.71   &  17.71 +- 0.14   &  23.20 +-12.66   &  24.53 +- 7.36   &  57.36 +- 0.56   &  211.10 +-84.61   &  381.99 +-86.96   &  425.00 +-20.62   &   1.11 +- 0.26  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [20.0-30.0]     &   0.20 +- 0.02   &   0.94 +- 0.08   &   0.52 +- 0.28   &   1.11 +- 0.03   &   0.56 +- 0.45   &   0.86 +- 0.26   &   3.29 +- 0.13   &    3.59 +- 1.66   &   11.07 +- 1.77   &   17.00 +- 4.12   &   1.54 +- 0.45  \\ \hline
 [30.0-40.0]     &   0.37 +- 0.02   &   2.04 +- 0.13   &   0.69 +- 0.37   &   2.33 +- 0.05   &   1.86 +- 0.99   &   1.93 +- 0.58   &   5.99 +- 0.17   &    6.59 +- 2.87   &   21.81 +- 3.12   &   35.00 +- 5.92   &   1.61 +- 0.36  \\ \hline
 [40.0-50.0]     &   0.35 +- 0.02   &   2.14 +- 0.11   &   0.70 +- 0.37   &   2.38 +- 0.05   &   2.73 +- 1.45   &   4.18 +- 1.26   &   6.64 +- 0.18   &    4.95 +- 2.15   &   24.07 +- 2.91   &   33.00 +- 5.74   &   1.37 +- 0.29  \\ \hline
 [50.0-60.0]     &   0.29 +- 0.02   &   1.81 +- 0.11   &   0.51 +- 0.26   &   1.96 +- 0.04   &   2.31 +- 1.25   &   3.44 +- 1.04   &   5.53 +- 0.16   &    6.54 +- 2.87   &   22.39 +- 3.31   &   24.00 +- 4.90   &   1.07 +- 0.27  \\ \hline
 [60.0-70.0]     &   0.25 +- 0.02   &   1.21 +- 0.08   &   0.40 +- 0.21   &   1.55 +- 0.04   &   1.04 +- 0.61   &   2.45 +- 0.74   &   4.19 +- 0.14   &    4.50 +- 1.97   &   15.60 +- 2.20   &   17.00 +- 4.12   &   1.09 +- 0.31  \\ \hline
 [70.0-80.0]     &   0.20 +- 0.02   &   1.14 +- 0.08   &   0.29 +- 0.15   &   1.14 +- 0.03   &   1.10 +- 0.65   &   1.61 +- 0.49   &   3.32 +- 0.12   &    1.54 +- 0.79   &   10.34 +- 1.15   &   14.00 +- 3.74   &   1.35 +- 0.39  \\ \hline
 [80.0-90.0]     &   0.13 +- 0.01   &   0.68 +- 0.07   &   0.25 +- 0.13   &   0.86 +- 0.03   &   0.00 +- 0.29   &   1.17 +- 0.35   &   2.51 +- 0.11   &    2.08 +- 1.07   &    7.60 +- 1.18   &   11.00 +- 3.32   &   1.45 +- 0.49  \\ \hline
