\hline
 bin             &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &  Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   5.89 +- 0.10   &  36.13 +-18.84   &  34.55 +- 0.52   &  52.79 +-26.43   &  36.92 +- 0.21   &  63.80 +-19.14   &  119.39 +- 0.82   &  445.11 +-178.20   &   794.58 +-182.14   &   922.00 +-30.36   &   1.16 +- 0.27  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [20.0-30.0]     &   0.40 +- 0.03   &   1.09 +- 0.69   &   1.82 +- 0.11   &   1.00 +- 0.52   &   2.35 +- 0.05   &   1.80 +- 0.54   &    6.32 +- 0.18   &    6.43 +- 2.76    &    21.21 +- 2.95    &   32.00 +- 5.66    &   1.51 +- 0.34  \\ \hline
 [30.0-40.0]     &   0.77 +- 0.03   &   3.10 +- 1.63   &   3.93 +- 0.18   &   1.32 +- 0.68   &   4.83 +- 0.07   &   3.84 +- 1.16   &   12.82 +- 0.26   &   13.78 +- 5.70    &    44.39 +- 6.09    &   75.00 +- 8.66    &   1.69 +- 0.30  \\ \hline
 [40.0-50.0]     &   0.74 +- 0.03   &   4.35 +- 2.27   &   4.15 +- 0.16   &   1.28 +- 0.66   &   4.78 +- 0.07   &   8.01 +- 2.41   &   13.49 +- 0.26   &   10.81 +- 4.47    &    47.62 +- 5.61    &   61.00 +- 7.81    &   1.28 +- 0.22  \\ \hline
 [50.0-60.0]     &   0.63 +- 0.03   &   3.58 +- 1.90   &   3.32 +- 0.15   &   1.05 +- 0.53   &   4.09 +- 0.06   &   6.16 +- 1.85   &   11.60 +- 0.23   &   10.82 +- 4.54    &    41.24 +- 5.29    &   52.00 +- 7.21    &   1.26 +- 0.24  \\ \hline
 [60.0-70.0]     &   0.52 +- 0.03   &   1.41 +- 0.83   &   2.45 +- 0.13   &   0.70 +- 0.36   &   3.28 +- 0.06   &   4.29 +- 1.29   &    8.84 +- 0.20   &    7.95 +- 3.34    &    29.42 +- 3.70    &   33.00 +- 5.74    &   1.12 +- 0.24  \\ \hline
 [70.0-80.0]     &   0.43 +- 0.03   &   1.23 +- 0.75   &   2.03 +- 0.11   &   0.47 +- 0.26   &   2.35 +- 0.05   &   2.95 +- 0.89   &    6.84 +- 0.18   &    3.18 +- 1.40    &    19.48 +- 1.85    &   27.00 +- 5.20    &   1.39 +- 0.30  \\ \hline
 [80.0-90.0]     &   0.32 +- 0.02   &   0.37 +- 0.37   &   1.47 +- 0.10   &   0.39 +- 0.20   &   1.83 +- 0.04   &   2.12 +- 0.64   &    5.20 +- 0.16   &    3.86 +- 1.73    &    15.57 +- 1.90    &   21.00 +- 4.58    &   1.35 +- 0.34  \\ \hline
 [90.0-100.0]    &   0.24 +- 0.02   &   0.68 +- 0.42   &   1.12 +- 0.08   &   0.29 +- 0.16   &   1.36 +- 0.04   &   1.42 +- 0.43   &    4.01 +- 0.14   &    2.32 +- 1.13    &    11.44 +- 1.30    &   14.00 +- 3.74    &   1.22 +- 0.36  \\ \hline
 [100.0-110.0]   &   0.20 +- 0.02   &   0.77 +- 0.46   &   0.78 +- 0.07   &   0.26 +- 0.13   &   0.94 +- 0.03   &   1.00 +- 0.30   &    2.83 +- 0.12   &    1.27 +- 0.58    &     8.05 +- 0.82    &    8.00 +- 2.83    &   0.99 +- 0.37  \\ \hline
 [110.0-120.0]   &   0.15 +- 0.01   &   0.49 +- 0.32   &   0.60 +- 0.05   &   0.13 +- 0.07   &   0.77 +- 0.03   &   0.68 +- 0.21   &    2.09 +- 0.10   &    1.91 +- 1.01    &     6.82 +- 1.09    &    7.00 +- 2.65    &   1.03 +- 0.42  \\ \hline
 [120.0-130.0]   &   0.13 +- 0.01   &   0.30 +- 0.21   &   0.52 +- 0.06   &   0.04 +- 0.07   &   0.51 +- 0.02   &   0.48 +- 0.15   &    1.57 +- 0.09   &    0.72 +- 0.48    &     4.27 +- 0.56    &    9.00 +- 3.00    &   2.11 +- 0.75  \\ \hline
 [130.0-140.0]   &   0.08 +- 0.01   &   0.35 +- 0.21   &   0.44 +- 0.05   &   0.14 +- 0.11   &   0.40 +- 0.02   &   0.34 +- 0.10   &    1.28 +- 0.08   &    0.95 +- 0.64    &     3.98 +- 0.69    &    2.00 +- 1.41    &   0.50 +- 0.37  \\ \hline
 [140.0-150.0]   &   0.08 +- 0.01   &   0.29 +- 0.19   &   0.28 +- 0.04   &   0.09 +- 0.05   &   0.31 +- 0.02   &   0.29 +- 0.09   &    0.94 +- 0.07   &    0.24 +- 0.15    &     2.52 +- 0.27    &    4.00 +- 2.00    &   1.59 +- 0.81  \\ \hline
 [150.0-160.0]   &   0.06 +- 0.01   &   0.05 +- 0.08   &   0.27 +- 0.04   &   0.06 +- 0.03   &   0.22 +- 0.01   &   0.17 +- 0.05   &    0.83 +- 0.06   &    0.34 +- 0.23    &     2.00 +- 0.26    &    2.00 +- 1.41    &   1.00 +- 0.72  \\ \hline
