\hline
 bin             &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.05 +- 0.18   &   0.05 +- 0.02   &   0.08 +- 0.07   &   0.05 +- 0.01   &   0.22 +- 0.03   &    1.40 +- 0.61   &    1.85 +- 0.64   &    1.00 +- 1.00   &   0.54 +- 0.57  \\ \hline
 [40.0-50.0]     &   0.00 +- 0.00   &   0.14 +- 0.01   &   0.27 +- 0.58   &   1.59 +- 0.11   &   2.68 +- 1.40   &   1.93 +- 0.05   &   7.34 +- 0.19   &   39.95 +-16.03   &   53.91 +-16.10   &   64.00 +- 8.00   &   1.19 +- 0.38  \\ \hline
 [50.0-60.0]     &   0.00 +- 0.00   &   0.30 +- 0.02   &   1.21 +- 0.75   &   1.91 +- 0.14   &   1.79 +- 0.96   &   2.80 +- 0.06   &   9.22 +- 0.21   &   38.11 +-15.29   &   55.34 +-15.34   &   85.00 +- 9.22   &   1.54 +- 0.46  \\ \hline
 [60.0-70.0]     &   0.00 +- 0.00   &   0.34 +- 0.02   &   1.18 +- 0.69   &   2.02 +- 0.13   &   1.84 +- 0.94   &   2.93 +- 0.06   &   8.56 +- 0.22   &   27.71 +-11.13   &   44.59 +-11.20   &   66.00 +- 8.12   &   1.48 +- 0.41  \\ \hline
 [70.0-80.0]     &   0.00 +- 0.00   &   0.40 +- 0.03   &   0.23 +- 0.36   &   1.71 +- 0.12   &   1.37 +- 0.71   &   2.80 +- 0.06   &   7.98 +- 0.21   &   19.98 +- 8.04   &   34.47 +- 8.08   &   38.00 +- 6.16   &   1.10 +- 0.31  \\ \hline
 [80.0-90.0]     &   0.00 +- 0.00   &   0.34 +- 0.02   &   0.49 +- 0.39   &   1.58 +- 0.11   &   1.12 +- 0.58   &   2.47 +- 0.05   &   6.20 +- 0.19   &   14.31 +- 5.77   &   26.51 +- 5.82   &   34.00 +- 5.83   &   1.28 +- 0.36  \\ \hline
