\hline
 bin             &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &  Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   1.33 +- 0.05   &  29.08 +-15.25   &  15.83 +- 0.32   &  34.25 +-17.16   &  12.81 +- 0.12   &  63.67 +-19.10   &   61.34 +- 0.52   &  262.62 +-105.20   &   480.93 +-109.36   &   575.00 +-23.98   &   1.20 +- 0.28  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &     0.00 +- 0.00    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [30.0-40.0]     &   0.03 +- 0.01   &   0.00 +- 0.26   &   0.40 +- 0.05   &   0.33 +- 0.19   &   0.31 +- 0.02   &   0.54 +- 0.17   &    1.09 +- 0.07   &    3.99 +- 1.69    &     6.48 +- 1.73    &   10.00 +- 3.16    &   1.54 +- 0.64  \\ \hline
 [40.0-50.0]     &   1.34 +- 0.05   &   6.99 +- 3.63   &  10.47 +- 0.27   &   7.34 +- 3.70   &  11.03 +- 0.11   &  12.06 +- 3.62   &   32.10 +- 0.40   &   86.14 +-34.61    &   167.47 +-35.19    &   196.00 +-14.00   &   1.17 +- 0.26  \\ \hline
 [50.0-60.0]     &   1.46 +- 0.05   &   5.92 +- 3.05   &   8.54 +- 0.25   &   5.38 +- 2.72   &  10.57 +- 0.11   &   7.73 +- 2.32   &   26.07 +- 0.37   &   53.44 +-21.51    &   119.11 +-22.03    &   148.00 +-12.17   &   1.24 +- 0.25  \\ \hline
 [60.0-70.0]     &   1.41 +- 0.05   &   3.20 +- 1.70   &   6.59 +- 0.22   &   3.76 +- 1.90   &   8.45 +- 0.10   &   4.56 +- 1.37   &   20.56 +- 0.34   &   39.38 +-15.93    &    87.91 +-16.20    &   95.00 +- 9.75    &   1.08 +- 0.23  \\ \hline
 [70.0-80.0]     &   1.15 +- 0.04   &   3.19 +- 1.67   &   4.66 +- 0.18   &   2.08 +- 1.06   &   6.13 +- 0.08   &   2.98 +- 0.90   &   14.60 +- 0.29   &   23.46 +- 9.58    &    58.25 +- 9.83    &   70.00 +- 8.37    &   1.20 +- 0.25  \\ \hline
 [80.0-90.0]     &   0.95 +- 0.04   &   3.66 +- 3.23   &   3.31 +- 0.16   &   1.49 +- 0.77   &   4.58 +- 0.07   &   1.99 +- 0.60   &   10.76 +- 0.25   &   13.85 +- 5.70    &    40.59 +- 6.63    &   54.00 +- 7.35    &   1.33 +- 0.28  \\ \hline
 [90.0-100.0]    &   0.81 +- 0.04   &   0.89 +- 0.52   &   2.59 +- 0.14   &   1.45 +- 0.74   &   3.31 +- 0.06   &   1.31 +- 0.40   &    8.11 +- 0.22   &    9.73 +- 4.05    &    28.20 +- 4.18    &   39.00 +- 6.24    &   1.38 +- 0.30  \\ \hline
 [100.0-110.0]   &   0.57 +- 0.03   &   0.56 +- 0.34   &   1.75 +- 0.12   &   1.20 +- 0.62   &   2.28 +- 0.05   &   0.92 +- 0.28   &    6.37 +- 0.20   &    5.70 +- 2.41    &    19.35 +- 2.54    &   27.00 +- 5.20    &   1.40 +- 0.33  \\ \hline
 [110.0-120.0]   &   0.44 +- 0.03   &   0.42 +- 0.28   &   1.14 +- 0.10   &   0.70 +- 0.37   &   1.68 +- 0.04   &   0.63 +- 0.19   &    4.86 +- 0.18   &    3.46 +- 1.53    &    13.32 +- 1.62    &   15.00 +- 3.87    &   1.13 +- 0.32  \\ \hline
