\hline
 bin                                   &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.01   &    0.00 +- 0.01   &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.03 +- 0.04   &    0.05 +- 0.04   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.01   &    0.19 +- 0.18   &    0.20 +- 0.18   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.05 +- 0.03   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.04 +- 0.05   &    0.12 +- 0.07   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.03 +- 0.03   &   0.02 +- 0.01   &    0.09 +- 0.02   &    0.58 +- 0.34   &    0.74 +- 0.34   &    1.00 +- 1.00   &   1.36 +- 1.49  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.07 +- 0.02   &   0.01 +- 0.04   &   0.04 +- 0.01   &    0.21 +- 0.04   &    1.17 +- 0.56   &    1.51 +- 0.56   &    3.00 +- 1.73   &   1.99 +- 1.37  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.00 +- 0.00   &   0.09 +- 0.02   &   0.30 +- 0.21   &   0.39 +- 0.06   &   0.57 +- 0.33   &   0.57 +- 0.03   &    1.67 +- 0.12   &    7.67 +- 3.15   &   11.27 +- 3.18   &   17.00 +- 4.12   &   1.51 +- 0.56  \\ \hline
 [-0.010000000149-0.0]                 &   0.00 +- 0.00   &   3.11 +- 0.09   &  15.37 +- 8.65   &  12.78 +- 0.40   &  16.20 +- 8.17   &  19.44 +- 0.19   &   57.05 +- 0.71   &  115.90 +-46.42   &  239.85 +-47.93   &  315.00 +-17.75   &   1.31 +- 0.27  \\ \hline
 [0.0-0.010000000149]                  &   0.00 +- 0.00   &   3.07 +- 0.10   &   7.16 +- 4.27   &  12.55 +- 0.40   &  16.73 +- 8.42   &  19.33 +- 0.19   &   57.17 +- 0.71   &  120.20 +-48.15   &  236.22 +-49.07   &  316.00 +-17.78   &   1.34 +- 0.29  \\ \hline
 [0.010000000149-0.020000000298]       &   0.00 +- 0.00   &   0.09 +- 0.02   &   0.25 +- 0.20   &   0.43 +- 0.07   &   0.56 +- 0.33   &   0.46 +- 0.03   &    1.73 +- 0.12   &    5.91 +- 2.45   &    9.43 +- 2.49   &   21.00 +- 4.58   &   2.23 +- 0.76  \\ \hline
 [0.020000000298-0.030000000447]       &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.04 +- 0.03   &   0.07 +- 0.03   &   0.02 +- 0.01   &   0.06 +- 0.01   &    0.21 +- 0.04   &    1.20 +- 0.55   &    1.60 +- 0.56   &    5.00 +- 2.24   &   3.12 +- 1.77  \\ \hline
 [0.030000000447-0.040000000596]       &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.00   &    0.06 +- 0.02   &    0.43 +- 0.27   &    0.53 +- 0.27   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.040000000596-0.0500000007451]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.13 +- 0.09   &    0.15 +- 0.09   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0500000007451-0.0600000008941]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.03 +- 0.04   &    0.06 +- 0.04   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0600000008941-0.0700000010431]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0700000010431-0.0800000011921]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.03 +- 0.03   &    0.04 +- 0.04   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0800000011921-0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.01 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
