\hline
 bin                                   &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &  Charge misid.   &    X+$\gamma$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &        Data        &     Data/bkg    \\ \hline
\hline
 [-0.0500000007451--0.0450000006706]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.16   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.16   &    0.00 +- 0.00    &  -0.00 +- 0.00  \\ \hline
 [-0.0450000006706--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.0350000005215]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.04 +- 0.04   &    0.04 +- 0.04   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0350000005215--0.030000000447]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.14   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.14   &    0.00 +- 0.00    &  -0.00 +- 0.00  \\ \hline
 [-0.030000000447--0.0250000003725]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.02 +- 0.02   &    0.00 +- 0.00   &    0.04 +- 0.04   &    0.08 +- 0.04   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [-0.0250000003725--0.020000000298]    &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.02   &    0.02 +- 0.01   &    0.10 +- 0.11   &    0.16 +- 0.12   &    2.00 +- 1.41    &  12.16 +-12.11  \\ \hline
 [-0.020000000298--0.0150000002235]    &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.05 +- 0.02   &   0.00 +- 0.04   &    0.04 +- 0.02   &    0.79 +- 0.45   &    0.90 +- 0.45   &    3.00 +- 1.73    &   3.32 +- 2.53  \\ \hline
 [-0.0150000002235--0.010000000149]    &   0.02 +- 0.01   &   0.08 +- 0.01   &   0.04 +- 0.02   &   0.08 +- 0.07   &   0.28 +- 0.09   &   0.70 +- 0.46   &    0.18 +- 0.04   &    2.68 +- 1.18   &    4.05 +- 1.27   &    6.00 +- 2.45    &   1.48 +- 0.76  \\ \hline
 [-0.010000000149--0.00500000007451]   &   0.13 +- 0.02   &   1.06 +- 0.04   &   0.95 +- 0.10   &   1.66 +- 0.89   &   2.15 +- 0.65   &   0.99 +- 1.08   &    2.84 +- 0.15   &   22.33 +- 9.02   &   32.10 +- 9.15   &   44.00 +- 6.63    &   1.37 +- 0.44  \\ \hline
 [-0.00500000007451-0.0]               &   4.13 +- 0.11   &  24.53 +- 0.21   &  25.01 +- 0.50   &  32.54 +-16.32   &  35.03 +-10.51   &  32.06 +-16.68   &   74.80 +- 0.78   &  118.17 +-47.36   &  346.27 +-53.84   &   434.00 +-20.83   &   1.25 +- 0.20  \\ \hline
 [0.0-0.00500000007451]                &   4.09 +- 0.11   &  24.42 +- 0.21   &  24.58 +- 0.48   &  31.58 +-15.85   &  35.34 +-10.60   &  39.16 +-20.53   &   78.27 +- 0.79   &  120.64 +-48.35   &  358.09 +-55.89   &   483.00 +-21.98   &   1.35 +- 0.22  \\ \hline
 [0.00500000007451-0.010000000149]     &   0.14 +- 0.02   &   1.06 +- 0.04   &   0.91 +- 0.07   &   1.35 +- 0.72   &   2.31 +- 0.69   &   4.01 +- 2.41   &    2.72 +- 0.15   &   22.87 +- 9.24   &   35.37 +- 9.60   &   46.00 +- 6.78    &   1.30 +- 0.40  \\ \hline
 [0.010000000149-0.0150000002235]      &   0.01 +- 0.00   &   0.11 +- 0.01   &   0.06 +- 0.04   &   0.13 +- 0.10   &   0.28 +- 0.09   &   0.50 +- 0.46   &    0.16 +- 0.04   &    2.99 +- 1.30   &    4.26 +- 1.39   &   10.00 +- 3.16    &   2.35 +- 1.07  \\ \hline
