\hline
 bin             &  Charge misid.   &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.04 +- 0.04   &   0.01 +- 0.00   &    0.04 +- 0.03   &    8.53 +- 3.47   &    8.62 +- 3.47   &   19.00 +- 4.36   &   2.20 +- 1.02  \\ \hline
 [40.0-50.0]     &   0.00 +- 0.00   &   0.26 +- 0.03   &   5.81 +- 3.98   &   2.65 +- 0.17   &   5.75 +- 2.97   &   3.15 +- 0.08   &   12.14 +- 0.30   &   51.60 +-20.70   &   81.36 +-21.29   &  113.00 +-10.63   &   1.39 +- 0.39  \\ \hline
 [50.0-60.0]     &   0.00 +- 0.00   &   0.48 +- 0.04   &   4.15 +- 2.64   &   3.57 +- 0.22   &   5.36 +- 2.74   &   4.76 +- 0.09   &   14.26 +- 0.34   &   50.30 +-20.19   &   82.89 +-20.55   &  125.00 +-11.18   &   1.51 +- 0.40  \\ \hline
 [60.0-70.0]     &   0.00 +- 0.00   &   0.53 +- 0.04   &   2.64 +- 1.51   &   3.59 +- 0.19   &   3.86 +- 1.99   &   5.16 +- 0.10   &   15.24 +- 0.35   &   39.47 +-15.86   &   70.49 +-16.06   &   91.00 +- 9.54   &   1.29 +- 0.32  \\ \hline
 [70.0-80.0]     &   0.00 +- 0.00   &   0.66 +- 0.04   &   1.80 +- 1.11   &   3.07 +- 0.20   &   3.30 +- 1.71   &   4.84 +- 0.09   &   12.67 +- 0.33   &   28.82 +-11.60   &   55.14 +-11.79   &   63.00 +- 7.94   &   1.14 +- 0.28  \\ \hline
 [80.0-90.0]     &   0.00 +- 0.00   &   0.52 +- 0.04   &   1.35 +- 0.85   &   2.38 +- 0.16   &   2.91 +- 1.50   &   4.34 +- 0.09   &   10.78 +- 0.30   &   20.27 +- 8.17   &   42.55 +- 8.36   &   59.00 +- 7.68   &   1.39 +- 0.33  \\ \hline
