\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &  Charge misid.   &    X+$\gamma$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &        Data        &     Data/bkg    \\ \hline
\hline
 [0.0-10.0]      &   1.03 +- 0.05   &  10.14 +- 0.13   &  13.58 +- 0.35   &  39.21 +-19.67   &  48.77 +-14.63   &  46.04 +-24.05   &   48.37 +- 0.58   &  153.74 +-61.59   &  360.88 +-70.52   &   428.00 +-20.69   &   1.19 +- 0.24  \\ \hline
 [10.0-20.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [20.0-30.0]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &    nan +-  nan  \\ \hline
 [30.0-40.0]     &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.02   &   0.00 +- 0.01   &   1.74 +- 0.52   &   0.01 +- 0.01   &    0.05 +- 0.02   &   10.31 +- 4.22   &   12.11 +- 4.25   &   28.00 +- 5.29    &   2.31 +- 0.92  \\ \hline
 [40.0-50.0]     &   0.94 +- 0.05   &   8.44 +- 0.12   &   8.70 +- 0.27   &   7.84 +- 3.97   &   8.92 +- 2.68   &   8.49 +- 4.49   &   24.31 +- 0.44   &   47.12 +-18.94   &  114.76 +-20.05   &   168.00 +-12.96   &   1.46 +- 0.28  \\ \hline
 [50.0-60.0]     &   1.27 +- 0.07   &   8.24 +- 0.12   &   7.06 +- 0.26   &   6.20 +- 3.14   &   5.75 +- 1.73   &   8.86 +- 5.14   &   22.31 +- 0.42   &   30.47 +-12.28   &   90.16 +-13.79   &   129.00 +-11.36   &   1.43 +- 0.25  \\ \hline
 [60.0-70.0]     &   1.06 +- 0.05   &   6.81 +- 0.11   &   6.28 +- 0.25   &   3.71 +- 1.90   &   3.74 +- 1.12   &   4.30 +- 2.76   &   16.22 +- 0.37   &   17.22 +- 6.98   &   59.34 +- 7.83   &   86.00 +- 9.27    &   1.45 +- 0.25  \\ \hline
 [70.0-80.0]     &   1.00 +- 0.05   &   5.04 +- 0.09   &   4.50 +- 0.21   &   2.58 +- 1.32   &   2.20 +- 0.66   &   3.45 +- 2.01   &   12.02 +- 0.32   &   11.27 +- 4.61   &   42.06 +- 5.26   &   60.00 +- 7.75    &   1.43 +- 0.26  \\ \hline
 [80.0-90.0]     &   0.70 +- 0.04   &   3.64 +- 0.08   &   3.27 +- 0.18   &   1.94 +- 1.02   &   1.53 +- 0.46   &   2.18 +- 1.17   &    8.97 +- 0.28   &    7.27 +- 3.00   &   29.49 +- 3.43   &   34.00 +- 5.83    &   1.15 +- 0.24  \\ \hline
 [90.0-100.0]    &   0.60 +- 0.04   &   2.58 +- 0.07   &   2.17 +- 0.15   &   1.54 +- 0.81   &   0.92 +- 0.28   &   1.60 +- 0.93   &    6.48 +- 0.24   &    5.42 +- 2.27   &   21.31 +- 2.62   &   23.00 +- 4.80    &   1.08 +- 0.26  \\ \hline
 [100.0-110.0]   &   0.45 +- 0.03   &   1.82 +- 0.06   &   1.50 +- 0.12   &   0.88 +- 0.47   &   0.61 +- 0.19   &   1.06 +- 0.62   &    4.66 +- 0.22   &    3.50 +- 1.49   &   14.48 +- 1.71   &   17.00 +- 4.12    &   1.17 +- 0.32  \\ \hline
 [110.0-120.0]   &   0.39 +- 0.03   &   1.34 +- 0.05   &   1.27 +- 0.12   &   0.63 +- 0.35   &   0.49 +- 0.15   &   0.03 +- 0.23   &    3.96 +- 0.19   &    1.14 +- 0.52   &    9.25 +- 0.72   &   14.00 +- 3.74    &   1.51 +- 0.42  \\ \hline
 [120.0-130.0]   &   0.25 +- 0.03   &   0.85 +- 0.04   &   0.95 +- 0.11   &   0.69 +- 0.39   &   0.27 +- 0.08   &   0.34 +- 0.26   &    2.93 +- 0.16   &    1.56 +- 0.72   &    7.85 +- 0.89   &   10.00 +- 3.16    &   1.27 +- 0.43  \\ \hline
 [130.0-140.0]   &   0.18 +- 0.02   &   0.62 +- 0.03   &   0.71 +- 0.07   &   0.33 +- 0.18   &   0.18 +- 0.06   &   0.45 +- 0.27   &    1.94 +- 0.14   &    1.08 +- 0.54   &    5.49 +- 0.65   &    6.00 +- 2.45    &   1.09 +- 0.47  \\ \hline
 [140.0-150.0]   &   0.14 +- 0.02   &   0.48 +- 0.03   &   0.33 +- 0.08   &   0.28 +- 0.18   &   0.12 +- 0.04   &   0.09 +- 0.05   &    1.37 +- 0.13   &    0.73 +- 0.37   &    3.54 +- 0.45   &    6.00 +- 2.45    &   1.70 +- 0.73  \\ \hline
 [150.0-160.0]   &   0.13 +- 0.02   &   0.31 +- 0.02   &   0.34 +- 0.06   &   0.20 +- 0.13   &   0.10 +- 0.03   &   0.07 +- 0.04   &    1.17 +- 0.11   &    0.44 +- 0.27   &    2.76 +- 0.33   &    5.00 +- 2.24    &   1.81 +- 0.84  \\ \hline
 [160.0-170.0]   &   0.12 +- 0.02   &   0.23 +- 0.02   &   0.20 +- 0.06   &   0.18 +- 0.11   &   0.07 +- 0.03   &   0.06 +- 0.04   &    1.02 +- 0.10   &    0.11 +- 0.08   &    1.99 +- 0.19   &    5.00 +- 2.24    &   2.51 +- 1.15  \\ \hline
 [170.0-180.0]   &   0.06 +- 0.01   &   0.17 +- 0.02   &   0.04 +- 0.05   &   0.12 +- 0.09   &   0.04 +- 0.01   &   0.10 +- 0.06   &    0.85 +- 0.09   &    0.09 +- 0.07   &    1.45 +- 0.17   &    4.00 +- 2.00    &   2.75 +- 1.41  \\ \hline
 [180.0-190.0]   &   0.05 +- 0.01   &   0.14 +- 0.02   &   0.15 +- 0.04   &   0.05 +- 0.03   &   0.04 +- 0.01   &   0.00 +- 0.00   &    0.62 +- 0.08   &    0.03 +- 0.04   &    1.08 +- 0.10   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [190.0-200.0]   &   0.04 +- 0.01   &   0.09 +- 0.01   &   0.13 +- 0.03   &   0.13 +- 0.09   &   0.02 +- 0.01   &   0.02 +- 0.19   &    0.34 +- 0.07   &    0.04 +- 0.04   &    0.80 +- 0.23   &    3.00 +- 1.73    &   3.75 +- 2.41  \\ \hline
 [200.0-210.0]   &   0.02 +- 0.01   &   0.08 +- 0.01   &   0.10 +- 0.04   &   0.03 +- 0.03   &   0.03 +- 0.01   &   0.04 +- 0.03   &    0.32 +- 0.06   &    0.12 +- 0.13   &    0.74 +- 0.16   &    2.00 +- 1.41    &   2.71 +- 2.00  \\ \hline
